gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers.extension_filters: envoy.access_loggers.extension_filters.cel
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.retry_host_predicates: envoy.retry_host_predicates.omit_canary_hosts, envoy.retry_host_predicates.omit_host_metadata, envoy.retry_host_predicates.previous_hosts
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.transports: auto, framed, header, unframed
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_subscription: envoy.config_subscription.ads, envoy.config_subscription.ads_collection, envoy.config_subscription.aggregated_grpc_collection, envoy.config_subscription.delta_grpc, envoy.config_subscription.delta_grpc_collection, envoy.config_subscription.filesystem, envoy.config_subscription.filesystem_collection, envoy.config_subscription.grpc, envoy.config_subscription.rest
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.path.rewrite: envoy.path.rewrite.uri_template.uri_template_rewriter
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rds_factory: envoy.rds_factory.default
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tls.cert_validator: envoy.tls.cert_validator.default, envoy.tls.cert_validator.spiffe
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.compression.decompressor: envoy.compression.brotli.decompressor, envoy.compression.gzip.decompressor, envoy.compression.zstd.decompressor
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_header_formatters: envoy.http.stateful_header_formatters.preserve_case, preserve_case
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.mcp_sse_stateful_session: envoy.http.mcp_sse_stateful_session.envelope
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.load_balancing_policies: envoy.load_balancing_policies.least_request, envoy.load_balancing_policies.maglev, envoy.load_balancing_policies.override_host, envoy.load_balancing_policies.random, envoy.load_balancing_policies.ring_hash, envoy.load_balancing_policies.round_robin, envoy.load_balancing_policies.subset
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers: envoy.access_loggers.file, envoy.access_loggers.http_grpc, envoy.access_loggers.open_telemetry, envoy.access_loggers.stderr, envoy.access_loggers.stdout, envoy.access_loggers.tcp_grpc, envoy.access_loggers.wasm, envoy.file_access_log, envoy.http_grpc_access_log, envoy.open_telemetry_access_log, envoy.stderr_access_log, envoy.stdout_access_log, envoy.tcp_grpc_access_log, envoy.wasm_access_log
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.common_inputs: envoy.matching.common_inputs.environment_variable
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.path.match: envoy.path.match.uri_template.uri_template_matcher
